Quality,Q.Score,Alc,Cl,TSO2,VA,FSO2,FA
1,6,9.5,0.049,132.0,0.3,14.0,6.3
1,6,10.1,0.05,97.0,0.28,30.0,8.1
1,6,9.9,0.058,186.0,0.23,47.0,7.2
1,6,9.6,0.045,136.0,0.32,30.0,6.2
1,6,11.0,0.044,129.0,0.22,28.0,8.1
1,5,12.0,0.033,63.0,0.27,11.0,8.1
1,5,9.7,0.035,109.0,0.23,17.0,8.6
1,5,10.8,0.04,75.0,0.18,16.0,7.9
1,7,12.4,0.044,143.0,0.16,48.0,6.6
1,7,11.4,0.032,112.0,0.17,28.0,6.6
1,6,11.3,0.033,171.0,0.34,17.0,7.4
1,5,9.5,0.044,133.0,0.31,34.0,6.5
1,7,11.0,0.038,102.0,0.31,19.0,6.4
2,8,10.5,0.049,122.0,0.26,41.0,6.8
1,6,10.0,0.052,142.0,0.27,16.0,6.6
1,6,10.4,0.046,245.0,0.25,56.0,7.0
1,6,10.0,0.052,146.0,0.24,35.0,6.9
1,6,10.5,0.051,141.0,0.28,32.0,7.0
1,6,11.6,0.047,132.0,0.27,17.0,7.4
1,7,12.3,0.033,114.0,0.32,37.0,7.2
1,6,10.0,0.044,142.0,0.24,20.0,8.5
1,6,10.2,0.042,47.0,0.14,7.0,8.3
1,6,10.8,0.05,100.0,0.25,31.0,7.4
1,6,9.0,0.045,117.0,0.12,43.0,6.2
1,5,10.2,0.044,179.0,0.27,22.0,5.8
1,5,12.8,0.08,123.0,0.28,21.0,7.3
1,5,10.0,0.051,149.0,0.39,25.0,6.5
1,6,11.2,0.053,138.0,0.33,38.0,7.0
1,5,8.6,0.057,149.0,0.24,45.0,7.3
1,6,9.8,0.069,160.0,0.31,28.0,7.0
1,6,9.5,0.057,152.0,0.24,33.0,6.6
1,6,9.5,0.06,154.0,0.23,33.0,6.7
1,7,10.0,0.058,167.0,0.18,38.0,7.4
0,4,9.8,0.063,206.0,0.45,63.0,6.2
1,5,9.8,0.066,207.0,0.46,62.0,6.2
1,5,9.8,0.067,150.0,0.19,32.0,6.9
1,6,11.7,0.062,173.0,0.19,31.0,7.2
1,7,11.0,0.068,124.0,0.25,39.0,6.6
1,7,10.9,0.057,82.0,0.16,21.0,6.2
1,6,10.9,0.045,108.0,0.18,39.0,6.4
1,6,9.1,0.147,132.0,0.2,38.0,6.8
1,6,11.0,0.039,191.0,0.25,29.0,6.9
1,6,9.6,0.043,213.0,0.21,37.0,7.2
1,6,8.9,0.048,147.0,0.19,50.0,6.0
1,6,10.2,0.044,78.0,0.38,25.0,6.6
1,6,9.9,0.038,111.0,0.2,44.0,7.4
1,6,8.6,0.092,123.0,0.22,30.0,6.8
1,5,10.5,0.035,151.0,0.47,17.0,7.0
1,6,10.3,0.038,122.0,0.24,31.0,7.2
1,7,12.6,0.04,124.0,0.26,27.0,6.4
1,5,9.8,0.041,174.0,0.25,81.0,6.7
2,8,10.7,0.046,96.0,0.23,30.0,6.7
1,5,9.5,0.05,105.0,0.24,21.0,7.4
1,6,9.0,0.056,244.0,0.27,48.0,6.2
1,5,9.5,0.061,238.5,0.3,50.5,6.8
1,5,10.0,0.063,201.0,0.27,31.0,6.0
1,6,9.1,0.054,72.0,0.23,9.0,8.6
1,7,12.7,0.043,87.0,0.18,31.0,7.1
1,7,12.0,0.042,69.0,0.32,20.0,7.0
1,5,9.3,0.064,103.0,0.18,26.0,7.4
1,5,9.0,0.06,105.0,0.54,21.0,6.7
1,6,10.6,0.053,114.0,0.22,34.0,6.8
1,6,9.2,0.05,166.0,0.2,51.0,7.1
1,5,10.0,0.063,164.0,0.34,47.0,7.1
1,6,9.5,0.047,207.0,0.22,42.0,7.3
1,5,8.7,0.045,155.0,0.43,54.0,7.1
1,6,8.7,0.044,152.0,0.44,52.0,7.1
1,6,8.7,0.044,156.0,0.39,55.0,7.2
1,6,9.7,0.05,202.0,0.25,69.0,6.8
1,5,9.0,0.049,243.0,0.27,65.0,6.1
1,7,12.6,0.035,136.0,0.24,47.0,6.9
1,7,12.6,0.034,136.0,0.21,48.0,6.9
1,7,11.5,0.04,148.0,0.17,51.0,7.5
1,6,9.2,0.044,240.0,0.26,62.0,7.1
1,6,8.8,0.046,164.0,0.34,26.0,6.0
1,7,11.4,0.034,80.0,0.265,15.0,8.6
1,5,9.1,0.06,192.0,0.25,52.0,7.4
1,5,9.4,0.054,162.0,0.12,64.0,7.1
1,5,9.4,0.05,164.0,0.21,55.0,6.0
1,6,9.2,0.051,109.0,0.13,34.0,7.3
1,6,9.1,0.04,171.0,0.23,60.0,7.1
1,5,10.3,0.051,187.0,0.33,37.0,6.9
1,6,8.8,0.082,163.0,0.17,64.0,6.5
1,5,9.2,0.056,195.0,0.31,68.0,7.2
1,5,9.1,0.049,150.0,0.41,29.0,6.7
1,6,11.3,0.041,143.0,0.31,25.0,6.0
1,6,11.8,0.035,85.0,0.14,16.0,7.0
1,5,9.2,0.06,196.0,0.32,57.0,7.3
1,5,8.8,0.054,138.0,0.24,42.0,7.8
1,5,9.7,0.059,131.0,0.16,31.0,7.4
1,6,9.1,0.058,146.0,0.19,14.0,6.9
1,6,9.8,0.092,158.0,0.13,40.0,6.4
1,6,11.0,0.026,143.0,0.19,63.0,6.7
1,5,10.5,0.033,126.0,0.39,29.0,7.4
